section_id,item_type,item_id,label,help_text,order
my-garden,checklist,raised-beds,Raised garden beds,,1
my-garden,checklist,in-ground,In-ground garden beds,,2
my-garden,checklist,containers,Containers or balcony plants,,3
my-garden,checklist,greenhouse,Greenhouse or cold frame,,4
my-garden,checklist,trees-shrubs,"Trees, shrubs, or fruit trees",,5
my-garden,checklist,lawn,Lawn or groundcover,,6
my-garden,checklist,community-space,Community or shared garden,,7
my-garden,checklist,nearby-space,Nearby park or natural area,,8
my-garden,prompt,garden-description,Describe the place you will observe.,"Include useful details such as sun, shade, slope, containers, beds, or surrounding habitat.",20
my-garden,prompt,garden-goals,What are your gardening or learning goals?,,21
my-garden,prompt,baseline,What changes have you already noticed?,"Think about seasons, temperature, rainfall, plants, wildlife, pests, or growing conditions.",22
weather-climate,checklist,heat,Extreme heat,,1
weather-climate,checklist,cold,"Ice, freezing rain, or extreme cold",,2
weather-climate,checklist,wind,Another locally important extreme,,3
weather-climate,checklist,rain,Heavy precipitation or flooding,,4
weather-climate,checklist,timing,Drought or unusually dry conditions,,5
weather-climate,checklist,none,Still exploring / no hazard selected yet,,6
weather-climate,prompt,changes-this-season,"Which extreme-weather hazard did you investigate, and why did you choose it?","Think about what matters to your garden, growing season, site, or community.",20
weather-climate,prompt,weather-or-pattern,What does the local or regional data show about how this hazard may change in the future? How certain is the evidence?,Separate evidence that an event occurred from evidence that its future frequency or severity is changing. Note the source you used.,21
weather-climate,prompt,try-next,"Based on the evidence, how much weight would you give this hazard in your garden planning—and what would you do next?","You might make it a priority, build in flexibility, or simply stay aware for now. There is no single correct preparedness level.",22
biodiversity,checklist,pollinators,Pollinators,,1
biodiversity,checklist,other-insects,Other insects or spiders,,2
biodiversity,checklist,birds,Birds,,3
biodiversity,checklist,other-animals,"Mammals, reptiles, or amphibians",,4
biodiversity,checklist,native-plants,Native plants,,5
biodiversity,checklist,soil-life,Fungi or visible soil life,,6
biodiversity,prompt,living-things,"What plants, insects, birds, or other living things did you notice?",,20
biodiversity,prompt,relationships,What relationships did you notice?,"For example: pollinators visiting flowers, birds feeding, or plants providing shelter.",21
biodiversity,prompt,try-next,What biodiversity question will you keep observing?,,22
soil,checklist,mulch,Mulch or plant cover,,1
soil,checklist,bare-soil,Bare soil,,2
soil,checklist,compaction,Compacted soil,,3
soil,checklist,earthworms,Earthworms or other soil life,,4
soil,checklist,organic-matter,Visible organic matter,,5
soil,checklist,erosion,Erosion or runoff,,6
soil,prompt,soil-comparison,How did the soil differ between the two locations?,,20
soil,prompt,soil-life,What signs of soil life or soil health did you notice?,,21
soil,prompt,try-next,What will you observe again later?,,22
water,checklist,ponding,Ponding or standing water,,1
water,checklist,runoff,Runoff,,2
water,checklist,fast-drying,Areas that dry quickly,,3
water,checklist,slow-drying,Areas that stay moist,,4
water,checklist,plant-stress,Plants showing water stress,,5
water,checklist,irrigation,Uneven irrigation coverage,,6
water,prompt,water-movement,How does water move through or across this space?,,20
water,prompt,moisture-patterns,"Where does soil stay moist longest, and where does it dry first?",,21
water,prompt,try-next,"What will you observe after the next rain, irrigation, or hot period?",,22
adaptation,checklist,shade,Shade or heat protection,,1
adaptation,checklist,water-use,Water use or irrigation,,2
adaptation,checklist,soil-care,Soil care,,3
adaptation,checklist,biodiversity-support,Habitat or biodiversity support,,4
adaptation,checklist,plant-choice,Plant selection,,5
adaptation,checklist,timing-practices,Timing or gardening practices,,6
adaptation,prompt,pattern,What pattern or priority stands out across your observations?,,20
adaptation,prompt,possible-change,What small adaptation might you try?,,21
adaptation,prompt,evidence,What observation or course idea supports this choice?,,22
adaptation,prompt,measure,How will you know whether the change is helping?,,23
final-reflection,checklist,seasonal-notes,Seasonal notes,,1
final-reflection,checklist,repeat-photos,Repeat photographs,,2
final-reflection,checklist,species-list,Species or pollinator lists,,3
final-reflection,checklist,soil-moisture,Soil moisture checks,,4
final-reflection,checklist,weather-records,Local weather records,,5
final-reflection,checklist,small-experiments,Small garden experiments,,6
final-reflection,prompt,three-insights,What are three important things you learned from observing your garden?,,20
final-reflection,prompt,next-action,What is one action you plan to take?,,21
final-reflection,prompt,continue-observing,"What will you continue observing, and how often?",,22
final-reflection,prompt,future-note,Write a note to your future gardening self.,,23
